# Kategorie: Dywany i Wykładziny
Pranie dywanów na wskroś (Shaggy, wełna maszynowa) | 25 | zł/m²
Pranie dywanów orientalnych (wełna ręczna) | 64 | zł/m²
Pranie dywanów jedwabnych | 97 | zł/m²
Pranie wykładzin biurowych | 15 | zł/m²
Pranie gobelinów | 64 | zł/m²
Neutralizacja zapachów (ozonowanie/enzymy) | 10 | zł/m²
Impregnacja tkanin | 10 | zł/m²

# Kategorie: Tapicerka Meblowa
Pranie kanapy / sofy | 150 | zł/szt.
Pranie narożnika pokojowego | 250 - 400 | zł/szt.
Pranie fotela | 70 | zł/szt.
Pranie krzesła / pufy | 20 - 25 | zł/szt.
Pranie materaca (dwustronne) | 150 - 200 | zł/szt.
Tapicerka z Alcantary | 150 - 200 | zł/szt.

# Kategorie: Inne Usługi
Pranie verticali (z montażem) | 18 | zł/m²
Serwis verticali | wycena<br>indywidualna |
Ratownictwo tkanin (zalania) | wycena<br>indywidualna |
